ROW,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48
R11,7739.087036148441,189143.80287476475,180228,247881,128146,196033,198508,181891,209476,183566,194389,37290,131329,219251,195538,184395,205816,190619,201321,181797,205699,207077,7177.679383920258,210358.7951459945,6385.818323012289,209788.20813098428,202512,196146,190110,205145,205633,191124,196128,205444,210249,206463,191313,184499,183896,194758,211106,174896,184250,216785,189548,207195,7963.740612536775,183562.4250631139
R12,6684.6917323619755,189769.57247541338,109215,214598,200599,223308,180296,199810,190699,205199,193533,216153,191427,204486,233225,187421,200646,225026,174331,208411,156371,185588,7384.767967608354,202125.9730948016,7105.99923719821,206426.26483228488,206302,175696,205441,210026,192480,173844,187156,184820,182104,210804,196500,179197,170427,192184,222547,206057,153598,189615,210829,228445,6380.22012177325,196377.58720746226
R13,7515.931217408621,196209.89986920112,203242,179037,207045,206265,205444,215795,193535,215460,199035,183013,213504,176487,214102,209765,184410,222831,189890,207718,198881,171940,5758.907118683348,206250.48964217716,7109.107961030211,202437.36663334625,168128,220878,196494,223060,192753,252142,197217,208477,171190,204563,186919,187647,208855,202547,196450,201273,217092,124236,200186,186915,6871.050797667234,201295.85368674196
R14,6298.611259904097,190733.7919138744,215391,202930,217173,205837,205332,203130,201246,212165,215187,204756,216732,205142,193823,177984,203066,181651,214116,203472,190172,210876,6702.397953174611,205320.66753623873,6855.630878797853,213161.91211973206,188123,198348,192497,189719,200228,191999,218419,183839,216336,197163,191961,175534,178458,203973,185743,206698,165380,212227,210900,212992,6576.338246588956,210551.00082596845
R15,6697.945561556129,187972.45318761718,185697,215650,187192,195490,227901,179707,196228,212834,213373,240072,209484,201966,197988,220820,193197,195148,172835,179658,201691,198180,5808.161722600272,214650.06986836897,6071.152235698185,181909.32670760065,180762,198557,204982,200092,226326,195441,182499,193876,188983,181701,202375,209132,216742,192658,192291,196444,221369,204006,197493,220967,7210.507006347267,206195.8310432284
R16,6512.056625093767,200609.06201027663,215017,199844,218367,205831,197399,194437,188743,209771,194375,196368,212940,194501,199165,203398,188190,215382,185458,196030,161523,191195,5831.921840403996,186200.96866803287,6852.617781845074,187685.78245034776,203227,154839,204742,207066,192332,221265,188480,213570,200331,201236,129633,209712,214044,197858,205308,187018,203356,196011,174834,179645,6403.640702371058,200277.96553507564
R17,6858.446790045878,208807.44278441014,195076,210512,193958,154464,188674,174047,185301,197884,206759,233045,218790,177934,216970,211357,200462,205554,196412,205248,279673,224088,6165.5843643574235,184954.7232921336,6218.107251484758,179072.79156908824,174280,217294,177792,187629,205091,217408,200681,214494,198454,197602,184995,208792,218227,178493,243132,212210,173290,205805,186366,205566,6768.28890877945,196586.63883408543
R18,7865.823758886441,201645.5564190315,195676,185775,213849,219716,213113,200530,216878,194769,290724,181263,130234,218252,199010,196745,208088,212571,190362,193396,185134,198402,6397.613825430751,216647.23174819397,6084.744932157042,210546.00791536484,218272,187273,180617,206375,204143,189333,186728,195172,91438,194990,198440,207795,225402,211901,257959,201107,185079,202007,204405,197538,6316.767365379595,203479.67968321676
R19,6630.142369607111,200412.8339310907,192393,199849,186110,203238,288094,193925,173244,198333,188997,201547,191815,180185,186077,208841,188146,218866,207453,205100,186032,205336,6466.053695525895,210097.23139551617,7245.913813778097,196096.49880300596,224035,212427,188322,217503,181440,183952,196654,183345,198837,219857,179758,212352,183906,168091,194092,194974,179764,209513,188072,205855,6241.8904430831,193220.69551737315
R20,5845.356352992115,200428.07449217307,177860,175437,74618,212431,205727,223775,189196,197825,201929,23031,176684,193409,219220,193810,196606,179081,195212,205250,196425,216882,7225.513501903689,195950.5689321596,7231.848206649534,193517.03953216862,209013,204478,190965,207192,187198,184209,162428,177311,212023,226758,184536,228575,179442,196318,212495,188897,221308,205216,207337,187629,5871.514666998642,193363.98510871566
R21,6116.678729284616,185730.36151852354,207717,194605,267893,207796,204924,194740,203017,230929,197013,197746,193939,185432,200731,187063,189223,186228,205618,209711,213135,202160,6168.8839911233545,185155.98374846193,6407.877798761706,186986.66654082702,186644,191694,210306,188671,206425,197452,171945,224853,218064,237823,193870,288710,200745,198410,211674,219409,206589,218261,195776,194941,7061.141759413619,199319.67966586695
R22,6474.631191703937,209468.50949548063,215641,216489,184722,209973,213833,222082,179757,188374,198072,192572,203262,201428,184985,200828,195879,179560,48477,193385,184262,220730,6143.962662908458,200781.0182467581,6415.686241520009,200473.63640684006,213029,178629,208309,185289,190356,176635,221309,191038,210737,215347,188635,211436,202779,195714,203539,203298,189095,194739,199818,184647,7304.02228520902,197215.01133433354
R23,6719.837498782075,197333.96505914786,201068,214144,229537,183598,203713,196081,257676,188428,200938,213055,184176,199756,212997,197297,211904,214136,190023,202824,220827,180170,6665.415743377427,177576.3904902967,6299.060014322452,213836.50343682745,205472,192732,220105,205408,198911,179428,190847,193270,200387,209899,201418,197157,200821,180335,214772,205579,51024,207701,176851,205890,7756.313902833749,200395.32105458796
R24,6441.529957235766,201912.23855910028,227015,178291,206458,210417,208390,211546,190470,189859,136419,202322,205957,205459,191423,204242,63165,60221,212666,227475,201930,210004,6411.316548419836,218251.53745380312,6214.432221406366,193024.5185205287,205254,201731,19878,213975,191708,207294,214452,206330,206727,108953,199747,184532,207710,211612,188357,211058,203151,200182,187178,200756,6816.236378790843,205626.48755773783
R25,7013.7134396629945,204946.76939954117,219905,222711,249026,197631,201369,213307,187759,214216,235393,197834,194533,209252,185792,199691,200389,184712,205989,194756,208803,283388,6901.467159920515,207624.01431768312,5635.851408392957,204120.2539675339,63625,171922,176456,174824,202002,178738,192546,199926,197164,189856,190881,186329,231544,196595,222060,199174,204010,204910,178912,191924,6364.451491093411,185075.08070132489
R26,7433.069101316641,206218.36776368244,198098,207944,195783,194171,213882,212249,219587,216771,189920,182953,178671,193134,175267,196589,215160,209457,206850,192035,213636,199755,6947.824399210389,194453.65004032291,7438.505174447174,217396.9015174274,195881,204103,183962,183715,201498,201588,186682,210189,165154,179435,215619,185227,232718,182192,215938,215060,185793,195717,187784,184831,6247.128831828573,198362.8340735998
R27,6089.7757628250965,205614.94767801886,213451,229294,203194,205578,205596,104163,220513,209791,206060,205799,175164,195097,200145,163266,176108,238536,196475,177115,232596,224456,5729.498299279383,193057.32996287628,5602.325307110112,205239.0120323117,221167,193646,207920,205711,185593,187671,241994,200027,229475,211505,206294,205632,228546,200301,188546,210020,181933,207336,207398,210279,6858.867419102922,187286.70837297154
R28,5920.003389107864,209288.81737406334,190617,206531,193675,183502,213159,227888,197241,213536,184960,218080,188979,201238,185230,189933,209449,182898,194258,214802,181646,195890,6849.3550202267215,186354.59158365132,6904.407785504377,214473.13510731648,196996,206293,202950,196757,212841,202429,221313,192421,201419,32442,212219,188581,199487,204264,202978,197192,203752,215856,219616,211437,7367.503605513056,197840.6040400705
R29,6561.4985183683175,199750.26945713357,232993,206188,204336,209004,200166,187611,198820,198100,212032,209294,184005,187547,176994,207271,208481,205242,224113,210175,187211,225817,5833.321225562522,188122.08484556735,5691.036211282811,199854.0259947443,172366,186534,199735,206610,213953,196327,196510,187332,199535,208803,212980,190998,205708,226116,171390,219318,192867,167458,206763,211085,6478.36391949211,212174.80833562926
R30,6874.770724544483,217054.59608773724,210684,208853,202907,190905,196003,72492,181682,198603,203461,183904,190695,86048,194104,177790,217702,195293,220960,175250,191630,203855,6336.977271608406,195337.5957384469,6789.037608633351,203458.42216918003,184288,202902,207657,183380,204311,201473,206358,184924,234583,209890,192486,195292,195808,192988,203459,203294,226434,185868,181270,217013,5337.318889934308,196668.01568323097
R31,6121.081836343032,202333.31295979617,204031,212261,232417,191919,209070,192899,185306,190434,218685,194251,207761,203204,195642,213762,202519,209390,199202,194603,211354,207310,7151.466404508883,215797.93493480017,6246.36425431831,198818.98853148866,198303,193652,198569,193621,203758,195111,204057,182042,200216,199320,229791,212870,190745,192292,188257,227035,228359,192809,200809,184178,7070.376881247532,195668.86761923812
R32,7192.865975818859,196073.7860803538,188404,200497,217387,245311,213324,232303,182568,213321,194078,208770,207679,200477,193795,231686,207234,218341,211195,189889,200828,179442,6361.420071910574,207347.28403608815,8018.67382055444,216869.68918995155,179237,211529,206318,185479,193083,168161,180446,183295,121227,181185,204129,214703,197846,184654,196437,203924,199460,198828,185806,209316,5482.054681309516,194861.0902664692
