ROW,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48
R16,6504.821695046756,212272.25272695837,164436,188839,194497,191262,204371,198959,181713,206753,205533,216887,195838,196596,113850,180820,195787,205559,189167,195826,218867,191812,7098.647232896953,201793.40123614,6598.639678359928,221156.09074627917,205321,191930,202265,187808,194384,209298,190776,182090,189491,215888,218564,181552,187259,199674,219009,206157,194320,226709,237651,180604,6105.72413338642,197514.2847450361
R17,5813.821332052455,206972.96327697765,179848,212133,180054,193493,185802,178248,262742,206473,200284,212316,204497,190399,212477,200539,177639,221679,215865,186806,194024,202058,6267.718832257499,219206.284676169,7014.963275639223,195316.99793788465,202110,190185,193965,203420,197154,201357,207096,203540,206239,181651,193950,214919,202202,203932,199874,206955,213621,182088,178411,197741,7822.314853718666,193319.57928339418
R18,6215.702692789044,208271.02256242037,193738,178900,143320,187571,200091,182326,181362,194448,206836,211196,195429,194413,204198,228650,208994,203945,218828,219603,201060,230047,7808.5344047719045,211178.3567769705,8111.413440045394,200000.5064359507,187395,210548,189636,206073,206609,204599,216963,189798,198812,198176,197979,218413,206292,206133,207914,190781,177735,188659,173825,177269,6447.068776396306,191685.5465273436
R19,7910.029121287411,204651.42256108418,182721,216281,215972,212809,190854,203305,199688,199628,200190,203594,203696,214970,201585,190396,214221,221485,218112,202487,208144,192629,6252.681314470144,212921.96063603525,6445.610373796738,216608.0613359362,196569,201013,193942,33866,185599,204288,203958,214704,185916,213408,205165,215052,211472,214026,208116,196271,221400,199210,197047,205585,5744.466503701055,192368.72121983202
R20,5607.289352226601,200413.18362537617,223217,185568,199907,229528,193310,202122,199877,208528,225662,220772,217490,201078,192807,205167,188046,197877,202413,199679,194884,198502,6572.780591624572,200340.0992144244,5804.928651573753,198752.65053470907,178600,213687,213269,256765,209808,196882,211962,189879,208782,201988,177576,184663,168908,58655,190630,196220,234064,201128,208149,217178,6313.093710765168,192849.81024220004
R21,5645.278836726307,191203.3694380102,211374,194713,216528,180748,218461,196622,191778,187497,198538,221101,192934,60510,196559,198320,209069,204573,175263,205475,190712,185155,5475.222630928973,205642.31479847018,6354.82514055711,182805.23558661446,191850,203789,213064,197213,208229,196381,186326,196142,195886,186020,180087,200178,184560,181843,206222,190913,206475,190152,214468,202618,5938.313626418166,215404.19958516117
R22,6126.412508570488,183069.7966009284,190331,220591,219734,193362,224690,214718,217676,179168,204825,204617,189365,216562,215268,213180,226047,206685,212592,193518,208423,206177,6844.554411881736,227057.20656505457,6381.665943085332,196915.6139054396,206925,187117,224493,208269,206434,212526,208376,220565,206223,198747,194423,183670,206597,201417,206978,78939,212087,298780,214029,203266,6685.261322501079,198822.07462245983
R23,6897.388060319093,213476.15655752018,197771,199456,182599,198309,193018,190425,183977,189267,201482,189937,203915,179499,197748,207998,203212,207073,210371,210811,208113,237092,5595.476598380361,189486.55838178354,8106.26647719815,200901.82952276603,204761,231490,204554,204531,191024,197720,195041,197314,189626,196940,196103,202503,204434,200096,163926,207931,204242,209539,185503,222936,6168.5845731894115,199400.6807952504
R24,6820.407869365897,192735.37584299291,192502,188540,200350,205113,204078,188389,186925,192019,192849,185754,199267,232017,199669,194050,191381,126075,214281,193115,183504,193297,6219.729996369633,186439.84843145547,7977.848304431109,192158.8075673873,189174,219979,189476,211319,213827,217777,202314,218157,200182,193899,194395,199543,190969,201214,185647,140526,185732,193443,210969,222969,6699.497581015064,197003.1667398962
R25,8068.564230711537,207652.8727331157,197199,211471,207698,205756,211506,178467,207512,202124,142048,199999,190601,198310,203750,183803,168935,229348,205153,181942,172611,190201,4712.219572494461,198906.81021546025,6492.32516294295,197343.79066023786,207973,191091,192056,195355,182828,206119,106054,199764,180851,217385,192872,197563,203336,203174,186006,197200,189673,209211,211615,207989,7158.314867210448,199718.05682080967
R26,6004.324306259867,204138.0879692768,164072,201008,198755,188355,214786,191987,218956,198727,193844,232311,232079,202781,200890,219533,176681,209862,189335,201480,201404,190920,7431.529250425187,194344.04427766227,7695.134581901846,202240.1278881279,185121,220940,191750,195650,201648,191044,228242,211628,175592,213721,189699,222213,206303,196880,197456,189070,224572,207403,212572,194749,6808.8017374247565,191267.8139041697
R27,7702.729350474502,191152.82747630865,192551,206319,175052,187898,219625,228858,227266,211775,220277,213237,187169,202801,206027,203244,187854,61873,221043,184681,217413,210222,5342.8538338352255,190581.45922280688,6943.338890648566,204200.5985106039,202023,213580,193201,191646,237180,200687,197825,253698,207429,224402,198261,212088,171918,205877,194292,198568,208365,213723,206017,209785,6483.633942169988,184624.58322223995
R28,5769.264358778069,210575.81362651414,182345,176560,192459,196891,195958,210763,190559,203321,202732,208372,211113,229040,154819,179327,209038,183498,194025,203655,173607,203066,6154.798536221499,179142.42962276717,7021.230205168944,194347.51121016315,201639,198016,198495,215596,192915,216684,199426,203690,204072,204985,183351,192376,199986,186165,181409,189197,213044,89496,192288,198465,7110.356921650749,194263.29657757244
R29,7537.004525729251,209905.20536278118,219683,196459,176387,252778,216536,203583,217884,202443,214408,204770,176053,174387,192070,197353,208126,215890,177677,222393,212540,196516,6805.86762397172,200381.1930061324,7226.346475366973,215989.74341527108,192693,222951,193125,190252,209921,199397,183006,207215,199354,209049,205597,237056,205141,187064,172343,182206,203012,192077,198240,216297,6954.239416668847,193611.01410371016
R30,5794.549521990912,189297.70749695276,187485,212987,190129,197749,192711,191826,192821,210201,193958,213568,191614,221254,201384,214971,206002,196652,216893,180480,174430,205332,7015.901051432537,205007.10373305902,7128.405184342116,201668.4507501079,204029,220581,196922,201912,173576,192371,210660,253610,211872,212899,190481,220606,201167,202221,222325,198828,221597,205965,234242,190593,5465.5907381445795,190714.92017555592
R31,6272.68063242945,201839.4371346609,212771,197419,203809,201863,206395,203820,195122,204433,170706,182664,220781,197190,194275,201453,205599,196678,215166,192508,181988,190822,6896.711712913428,215806.98121173022,6113.078104217656,200937.53048711852,203512,210148,186389,205008,206769,200865,213591,200988,185088,182800,206281,188324,183611,83283,176757,184736,205725,183737,198913,170057,7644.67154208796,205664.7015021332
R32,5172.709677189702,188641.75914373333,177288,173449,215827,222069,181843,209820,209422,199574,187823,115297,183283,191846,188491,204397,188475,194514,208346,192082,209406,195229,5391.635599753265,208645.16754749513,6879.712330091119,201990.97757826466,198123,185057,194214,185917,31770,215857,218248,223650,221645,219296,198226,198626,207380,198708,189093,217881,199098,196030,193498,201016,6988.463639806096,220620.03100013474
